target,difficulty,success,time,iteration,nodes,
hanging_exp_bag_5,easy,0.93,40.626998484134674,314.01,1851.93,
target,difficulty,success,time,iteration,nodes,
hanging_exp_daily_5,easy,0.86,8.972940957546234,163.02,1245.18,
target,difficulty,success,time,iteration,nodes,
hanging_exp_mug_59,easy,0.94,34.59191345691681,290.52,1647.92,
target,difficulty,success,time,iteration,nodes,
hanging_exp_scissor_4,easy,0.75,22.031330671310425,203.76,1718.13,
target,difficulty,success,time,iteration,nodes,
hanging_exp_wrench_1,easy,0.67,166.15560433149338,875.58,3134.28,
target,difficulty,success,time,iteration,nodes,
Hook_bar,easy,1.0,0.044782915115356446,2.74,294.18,
target,difficulty,success,time,iteration,nodes,
Hook_60,easy,0.99,0.24830576181411743,13.14,355.12,
target,difficulty,success,time,iteration,nodes,
Hook_skew,easy,0.98,0.8507289838790894,39.06,586.92,
target,difficulty,success,time,iteration,nodes,
Hook_90,easy,0.62,181.73846921682357,1086.12,5107.16,
target,difficulty,success,time,iteration,nodes,
Hook_180,easy,0.56,89.49650102376938,705.83,3254.06,
target,difficulty,success,time,iteration,nodes,
hanging_exp_bag_5,medium,0.89,35.158627071380614,274.23,1805.6,
target,difficulty,success,time,iteration,nodes,
hanging_exp_daily_5,medium,0.76,6.377922508716583,128.57,1262.66,
target,difficulty,success,time,iteration,nodes,
hanging_exp_mug_59,medium,1.0,12.764203612804414,189.7,1385.06,
target,difficulty,success,time,iteration,nodes,
hanging_exp_scissor_4,medium,0.75,16.629186346530915,157.54,1374.22,
target,difficulty,success,time,iteration,nodes,
hanging_exp_wrench_1,medium,0.72,184.404938788414,932.94,3554.4,
target,difficulty,success,time,iteration,nodes,
Hook_bar,medium,0.98,0.06404115676879883,3.52,377.59,
target,difficulty,success,time,iteration,nodes,
Hook_60,medium,0.99,0.20446306228637695,10.95,477.53,
target,difficulty,success,time,iteration,nodes,
Hook_skew,medium,0.91,1.5883058428764343,61.8,920.63,
target,difficulty,success,time,iteration,nodes,
Hook_90,medium,0.59,174.99679883241654,945.57,4576.58,
target,difficulty,success,time,iteration,nodes,
Hook_180,medium,0.65,78.48126943349838,661.14,3029.61,
target,difficulty,success,time,iteration,nodes,
hanging_exp_bag_5,hard,0.87,32.382947254180905,299.99,1990.38,
target,difficulty,success,time,iteration,nodes,
hanging_exp_daily_5,hard,0.88,9.978657565116883,165.35,1465.99,
target,difficulty,success,time,iteration,nodes,
hanging_exp_mug_59,hard,0.97,17.166150267124177,216.81,1539.23,
target,difficulty,success,time,iteration,nodes,
hanging_exp_scissor_4,hard,0.76,34.97083818912506,261.8,1896.22,
target,difficulty,success,time,iteration,nodes,
hanging_exp_wrench_1,hard,0.7422680412371134,118.0571602054478,616.5876288659794,2895.8350515463917,
target,difficulty,success,time,iteration,nodes,
Hook_bar,hard,1.0,0.09101063489913941,4.0,470.48,
target,difficulty,success,time,iteration,nodes,
Hook_60,hard,0.95,0.27516398191452024,11.92,647.73,
target,difficulty,success,time,iteration,nodes,
Hook_skew,hard,0.92,1.797042646408081,59.69,1032.15,
target,difficulty,success,time,iteration,nodes,
Hook_90,hard,0.6326530612244898,161.60296047950277,1000.0816326530612,4894.785714285715,
target,difficulty,success,time,iteration,nodes,
Hook_180,hard,0.7171717171717171,48.96961630474437,491.26262626262627,2781.343434343434,
